crash_date,crash_time,borough,on_street,cross_street,contributing_factor,vehicle_type,persons_injured,persons_killed,lat,lon
2022-06-10,17:17:00,Unknown,AMBOY ROAD,Unknown,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,1,0,40.509296,-74.24606
2022-04-19,06:00:00,Unknown,PAGE AVENUE,Unknown,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1,0,40.520916,-74.235115
2022-06-06,16:16:00,Unknown,SOUTH SERVICE ROAD,Unknown,Animals Action,Sedan,1,0,40.52641,-74.21983
2022-07-17,03:45:00,Unknown,HYLAN BOULEVARD,Unknown,Tire Failure/Inadequate,Sedan,0,1,40.537262,-74.15051
2022-11-15,22:30:00,Unknown,BLOOMINGDALE ROAD,WOODROW ROAD,Failure to Yield Right-of-Way,Sedan,1,0,40.541122,-74.2178
2022-08-21,04:15:00,Unknown,WOODROW ROAD,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.54301,-74.19853
2022-09-13,08:00:00,Unknown,NELSON AVENUE,Unknown,Unspecified,Sedan,1,0,40.543495,-74.14747
2022-07-04,01:47:00,Unknown,HUGUENOT AVENUE,Unknown,Drugs (illegal),Sedan,1,0,40.546707,-74.19913
2022-03-15,11:00:00,Unknown,RICHMOND AVENUE,Unknown,Unspecified,Sedan,0,0,40.55413,-74.16837
2022-04-23,12:30:00,Unknown,KOREAN WAR VETS PARKWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.55554,-74.17562
2022-03-05,09:30:00,Unknown,KOREAN WAR VETS PARKWAY,Unknown,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle,0,0,40.55554,-74.17562
2022-03-01,06:22:00,Unknown,KOREAN WAR VETS PARKWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.55554,-74.17562
2022-08-31,12:40:00,Unknown,RICHMOND AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.561092,-74.16984
2022-11-17,08:27:00,Unknown,PLATT STREET,Unknown,Driver Inattention/Distraction,Bus,0,0,40.562218,-74.12548
2022-09-30,20:00:00,Unknown,ARTHUR KILL ROAD,Unknown,Unspecified,Sedan,0,0,40.56296,-74.17541
2022-02-05,14:40:00,Unknown,TYSENS LANE,HYLAN BOULEVARD,Driver Inattention/Distraction,Sedan,1,0,40.563915,-74.11637
2022-10-13,08:00:00,Unknown,AMBOY ROAD,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.56895,-74.12491
2022-11-03,14:36:00,Unknown,HYLAN BOULEVARD,Unknown,Lost Consciousness,Sedan,1,0,40.56935,-74.11089
2022-11-07,13:00:00,Unknown,CRANFORD AVENUE,Unknown,Lost Consciousness,Sedan,2,0,40.570385,-74.12969
2022-09-21,20:14:00,Unknown,RICHMOND AVENUE,FOREST HILL ROAD,Traffic Control Disregarded,Sedan,1,0,40.570835,-74.16983
2022-11-02,16:43:00,Unknown,RICHMOND AVENUE,FOREST HILL ROAD,Driver Inattention/Distraction,Sedan,2,0,40.570835,-74.16983
2022-11-11,10:00:00,Unknown,Unknown,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,1,0,40.572548,-74.16997
2022-12-15,18:35:00,Unknown,SURF AVENUE,Unknown,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0,0,40.57275,-73.997055
2022-09-12,19:25:00,Unknown,ATLANTIC AVENUE,Unknown,Alcohol Involvement,Sedan,0,0,40.573475,-74.00445
2022-04-08,06:11:00,Unknown,FOREST HILL ROAD,PLATINUM AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.575333,-74.16179
2022-09-29,19:38:00,Unknown,PLATINUM AVENUE,Unknown,Driver Inexperience,Station Wagon/Sport Utility Vehicle,3,0,40.575333,-74.16179
2022-08-18,21:57:00,Unknown,SURF AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.57557,-73.981224
2022-01-04,21:10:00,Unknown,MERMAID AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.575573,-73.99432
2022-09-17,11:45:00,Unknown,MERMAID AVENUE,Unknown,Turning Improperly,E-Scooter,0,0,40.576275,-73.98796
2022-03-08,12:00:00,Unknown,HYLAN BOULEVARD,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,2,0,40.576504,-74.1037
2022-06-16,13:12:00,Unknown,RICHMOND AVENUE,YUKON AVENUE,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1,0,40.576965,-74.16974
2022-02-07,10:00:00,Unknown,RICHMOND AVENUE,YUKON AVENUE,Pavement Slippery,Sedan,1,0,40.576965,-74.16974
2022-04-26,06:03:00,Unknown,NEPTUNE AVENUE,Unknown,Aggressive Driving/Road Rage,Sedan,2,0,40.577003,-74.00217
2022-10-08,09:00:00,Unknown,WEST 33 STREET,Unknown,Unspecified,Sedan,0,0,40.577244,-74.00004
2022-06-06,10:20:00,Unknown,BRIGHTON BEACH AVENUE,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.5778,-73.96057
2022-07-18,16:30:00,Unknown,CONEY ISLAND AVENUE,Unknown,Passing or Lane Usage Improper,Sedan,0,0,40.577995,-73.95964
2022-10-21,00:19:00,Unknown,Unknown,Unknown,Unspecified,Sedan,0,0,40.578304,-74.162155
2022-04-28,17:53:00,Unknown,NEPTUNE AVENUE,Unknown,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,4,0,40.57848,-73.98946
2022-10-19,16:40:00,Unknown,WEST 22 STREET,Unknown,Unspecified,Taxi,0,0,40.57848,-73.98946
2022-06-21,15:15:00,Unknown,Unknown,Unknown,Backing Unsafely,Sedan,1,0,40.578556,-74.1696
2022-11-06,13:30:00,Unknown,LIBERTY AVENUE,Unknown,Driver Inattention/Distraction,Pick-up Truck,1,0,40.578873,-74.078926
2022-10-21,14:13:00,Unknown,RICHMOND AVENUE,PLATINUM AVENUE,Aggressive Driving/Road Rage,Sedan,1,0,40.5794,-74.16949
2022-01-29,00:00:00,Unknown,SHELL ROAD,Unknown,Unspecified,Sedan,0,0,40.579826,-73.97622
2022-07-24,14:00:00,Unknown,CONEY ISLAND AVENUE,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.580482,-73.95984
2022-05-27,13:00:00,Unknown,NEPTUNE AVENUE,Unknown,Unspecified,Sedan,0,0,40.580627,-73.96622
2022-02-21,15:00:00,Unknown,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.582233,-74.16907
2022-08-27,12:50:00,Unknown,NEVADA AVENUE,Unknown,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0,0,40.58251,-74.1264
2022-07-29,15:14:00,Unknown,NEPTUNE AVENUE,Unknown,Turning Improperly,Motorcycle,0,0,40.58253,-73.95723
2022-09-19,03:25:00,Unknown,JEFFERSON AVENUE,Unknown,Driver Inattention/Distraction,Taxi,0,0,40.58271,-74.10062
2022-04-12,18:30:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Sedan,1,0,40.582874,-73.98053
2022-07-31,15:40:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,1,0,40.582977,-73.98042
2022-05-29,23:39:00,Unknown,BELT PARKWAY,Unknown,Unsafe Lane Changing,Sedan,0,0,40.58317,-73.98236
2022-12-16,15:35:00,Unknown,BELT PARKWAY,Unknown,Other Vehicular,Sedan,0,0,40.5832,-73.97304
2022-01-16,20:05:00,Unknown,BELT PARKWAY,Unknown,Pavement Slippery,Sedan,0,0,40.5832,-73.97304
2022-03-14,09:35:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Box Truck,0,0,40.583534,-73.984184
2022-06-06,16:00:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.58369,-73.92157
2022-06-29,07:42:00,Unknown,FLATBUSH AVENUE,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.583725,-73.89372
2022-04-19,02:57:00,Unknown,WEST 2 STREET,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.58382,-73.970856
2022-10-06,09:30:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.584064,-73.91971
2022-11-18,22:18:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.58407,-73.92344
2022-03-14,07:50:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Taxi,0,0,40.584137,-73.96386
2022-11-08,15:06:00,Unknown,Unknown,Unknown,Outside Car Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.5843,-74.16492
2022-07-30,02:00:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.584366,-73.9271
2022-08-15,23:00:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.584366,-73.9271
2022-01-01,23:50:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,0,0,40.584366,-73.9271
2022-12-27,18:57:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,0,0,40.58451,-73.987625
2022-10-28,02:48:00,Unknown,BELT PARKWAY,Unknown,Unsafe Speed,Sedan,0,0,40.584522,-73.949
2022-06-17,17:06:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.584755,-73.94712
2022-12-31,17:30:00,Unknown,EAST 19 STREET,SHORE PARKWAY,Driver Inattention/Distraction,Sedan,0,0,40.584854,-73.949875
2022-07-25,00:15:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.58493,-73.95269
2022-01-02,16:10:00,Unknown,BELT PARKWAY,Unknown,Reaction to Uninvolved Vehicle,Station Wagon/Sport Utility Vehicle,0,0,40.585342,-73.94157
2022-03-08,17:09:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Sedan,1,0,40.585342,-73.94157
2022-09-26,07:57:00,Unknown,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.58573,-74.16865
2022-03-04,09:35:00,Unknown,AVENUE Z,Unknown,Unspecified,Sedan,0,0,40.586002,-73.97221
2022-11-08,22:30:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,0,0,40.586098,-73.93237
2022-09-25,00:00:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,3,0,40.586098,-73.93237
2022-01-25,18:50:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.586212,-73.990585
2022-04-26,22:00:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Pick-up Truck,0,0,40.587326,-73.99173
2022-04-05,07:30:00,Unknown,AVENUE Y,Unknown,Brakes Defective,ASPHALT RO,0,0,40.588116,-73.97261
2022-08-03,14:15:00,Unknown,WEST SHORE EXPRESSWAY,Unknown,Following Too Closely,Sedan,0,0,40.588345,-74.192986
2022-08-05,15:20:00,Unknown,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.58839,-74.16793
2022-08-16,16:53:00,Unknown,FOREST HILL ROAD,ROCKLAND AVENUE,Driver Inattention/Distraction,Sedan,0,0,40.588562,-74.14584
2022-10-06,11:00:00,Unknown,AVENUE X,Unknown,Unspecified,Sedan,0,0,40.589043,-73.98381
2022-12-16,20:50:00,Unknown,STILLWELL AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.589043,-73.98381
2022-07-24,09:30:00,Unknown,AVENUE X,Unknown,Unspecified,Sedan,0,0,40.589947,-73.97558
2022-05-27,14:51:00,Unknown,BATH AVENUE,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.59034,-73.98434
2022-10-21,15:30:00,Unknown,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.59034,-74.06663
2022-10-14,08:00:00,Unknown,Unknown,Unknown,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,1,0,40.591366,-74.15938
2022-02-23,16:46:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Sedan,0,0,40.591755,-73.9083
2022-02-11,14:45:00,Unknown,BATH AVENUE,Unknown,Other Vehicular,Pick-up Truck,0,0,40.593002,-73.98874
